Agency,Mode,Month,Riders
King County Department of Metro Transit,Light Rail,5/1/2020,0
King County Department of Metro Transit,Light Rail,6/1/2020,0
King County Department of Metro Transit,Light Rail,7/1/2020,0
King County Department of Metro Transit,Light Rail,8/1/2020,0
King County Department of Metro Transit,Light Rail,9/1/2020,0
King County Department of Metro Transit,Light Rail,10/1/2020,0
King County Department of Metro Transit,Light Rail,11/1/2020,0
King County Department of Metro Transit,Light Rail,12/1/2020,0
King County Department of Metro Transit,Light Rail,1/1/2021,0
King County Department of Metro Transit,Light Rail,2/1/2021,0
King County Department of Metro Transit,Light Rail,3/1/2021,0
King County Department of Metro Transit,Light Rail,4/1/2021,0
King County Department of Metro Transit,Light Rail,5/1/2021,0
King County Department of Metro Transit,Light Rail,6/1/2021,0
King County Department of Metro Transit,Light Rail,7/1/2021,0
King County Department of Metro Transit,Light Rail,8/1/2021,0
King County Department of Metro Transit,Light Rail,9/1/2021,0
King County Department of Metro Transit,Light Rail,10/1/2021,0
King County Department of Metro Transit,Light Rail,11/1/2021,0
King County Department of Metro Transit,Light Rail,12/1/2021,0
King County Department of Metro Transit,Light Rail,1/1/2022,0
King County Department of Metro Transit,Light Rail,2/1/2022,0
King County Department of Metro Transit,Light Rail,3/1/2022,0
King County Department of Metro Transit,Light Rail,4/1/2022,0
King County Department of Metro Transit,Light Rail,5/1/2022,0
King County Department of Metro Transit,Light Rail,6/1/2022,0
King County Department of Metro Transit,Light Rail,7/1/2022,0
King County Department of Metro Transit,Light Rail,8/1/2022,0
King County Department of Metro Transit,Light Rail,9/1/2022,0
King County Department of Metro Transit,Light Rail,10/1/2022,0
King County Department of Metro Transit,Light Rail,11/1/2022,0
King County Department of Metro Transit,Light Rail,12/1/2022,0
King County Department of Metro Transit,Light Rail,1/1/2023,0
King County Department of Metro Transit,Bus,1/1/2012,7225999
King County Department of Metro Transit,Bus,2/1/2012,7653303
King County Department of Metro Transit,Bus,3/1/2012,8019442
King County Department of Metro Transit,Bus,4/1/2012,7981372
King County Department of Metro Transit,Bus,5/1/2012,8406940
King County Department of Metro Transit,Bus,6/1/2012,7996541
King County Department of Metro Transit,Bus,7/1/2012,7967390
King County Department of Metro Transit,Bus,8/1/2012,8119968
King County Department of Metro Transit,Bus,9/1/2012,7702374
King County Department of Metro Transit,Bus,10/1/2012,8702116
King County Department of Metro Transit,Bus,11/1/2012,7818766
King County Department of Metro Transit,Bus,12/1/2012,7058209
King County Department of Metro Transit,Bus,1/1/2013,8120141
King County Department of Metro Transit,Bus,2/1/2013,7526483
King County Department of Metro Transit,Bus,3/1/2013,8205177
King County Department of Metro Transit,Bus,4/1/2013,8498612
King County Department of Metro Transit,Bus,5/1/2013,8733153
King County Department of Metro Transit,Bus,6/1/2013,7991423
King County Department of Metro Transit,Bus,7/1/2013,8254012
King County Department of Metro Transit,Bus,8/1/2013,8125544
King County Department of Metro Transit,Bus,9/1/2013,7850652
King County Department of Metro Transit,Bus,10/1/2013,8968389
King County Department of Metro Transit,Bus,11/1/2013,7954362
King County Department of Metro Transit,Bus,12/1/2013,7474570
King County Department of Metro Transit,Bus,1/1/2014,8311232
King County Department of Metro Transit,Bus,2/1/2014,7704450
King County Department of Metro Transit,Bus,3/1/2014,8380648
King County Department of Metro Transit,Bus,4/1/2014,8584665
King County Department of Metro Transit,Bus,5/1/2014,8626523
King County Department of Metro Transit,Bus,6/1/2014,8252640
King County Department of Metro Transit,Bus,7/1/2014,8396060
King County Department of Metro Transit,Bus,8/1/2014,8128400
King County Department of Metro Transit,Bus,9/1/2014,8264380
King County Department of Metro Transit,Bus,10/1/2014,9172604
King County Department of Metro Transit,Bus,11/1/2014,7915847
King County Department of Metro Transit,Bus,12/1/2014,7832612
King County Department of Metro Transit,Bus,1/1/2015,8354419
King County Department of Metro Transit,Bus,2/1/2015,7869270
King County Department of Metro Transit,Bus,3/1/2015,8634873
King County Department of Metro Transit,Bus,4/1/2015,8665166
King County Department of Metro Transit,Bus,5/1/2015,8590349
King County Department of Metro Transit,Bus,6/1/2015,8569476
King County Department of Metro Transit,Bus,7/1/2015,8593597
King County Department of Metro Transit,Bus,8/1/2015,8420304
King County Department of Metro Transit,Bus,9/1/2015,8243763
King County Department of Metro Transit,Bus,10/1/2015,9221945
King County Department of Metro Transit,Bus,11/1/2015,8219363
King County Department of Metro Transit,Bus,12/1/2015,7980357
King County Department of Metro Transit,Bus,1/1/2016,8383033
King County Department of Metro Transit,Bus,2/1/2016,8326396
King County Department of Metro Transit,Bus,3/1/2016,8887128
King County Department of Metro Transit,Bus,4/1/2016,8556763
King County Department of Metro Transit,Bus,5/1/2016,8727968
King County Department of Metro Transit,Bus,6/1/2016,8541069
King County Department of Metro Transit,Bus,7/1/2016,8141290
King County Department of Metro Transit,Bus,8/1/2016,8642726
King County Department of Metro Transit,Bus,9/1/2016,8211555
King County Department of Metro Transit,Bus,10/1/2016,8709581
King County Department of Metro Transit,Bus,11/1/2016,8209262
King County Department of Metro Transit,Bus,12/1/2016,7587360
King County Department of Metro Transit,Bus,1/1/2017,8322531
King County Department of Metro Transit,Bus,2/1/2017,7741480
King County Department of Metro Transit,Bus,3/1/2017,8897619
King County Department of Metro Transit,Bus,4/1/2017,8522858
King County Department of Metro Transit,Bus,5/1/2017,8976802
King County Department of Metro Transit,Bus,6/1/2017,8667512
King County Department of Metro Transit,Bus,7/1/2017,8348447
King County Department of Metro Transit,Bus,8/1/2017,8750954
King County Department of Metro Transit,Bus,9/1/2017,8240729
King County Department of Metro Transit,Bus,10/1/2017,8990050
King County Department of Metro Transit,Bus,11/1/2017,8256206
King County Department of Metro Transit,Bus,12/1/2017,7414381
King County Department of Metro Transit,Bus,1/1/2018,8792433
King County Department of Metro Transit,Bus,2/1/2018,7910296
King County Department of Metro Transit,Bus,3/1/2018,8957167
King County Department of Metro Transit,Bus,4/1/2018,8725844
King County Department of Metro Transit,Bus,5/1/2018,9201162
King County Department of Metro Transit,Bus,6/1/2018,8674899
King County Department of Metro Transit,Bus,7/1/2018,8665944
King County Department of Metro Transit,Bus,8/1/2018,8863329
King County Department of Metro Transit,Bus,9/1/2018,8173423
King County Department of Metro Transit,Bus,10/1/2018,9462604
King County Department of Metro Transit,Bus,11/1/2018,8361757
King County Department of Metro Transit,Bus,12/1/2018,7646317
King County Department of Metro Transit,Bus,1/1/2019,8688609
King County Department of Metro Transit,Bus,2/1/2019,7614112
King County Department of Metro Transit,Bus,3/1/2019,8662761
King County Department of Metro Transit,Bus,4/1/2019,8904840
King County Department of Metro Transit,Bus,5/1/2019,9280947
King County Department of Metro Transit,Bus,6/1/2019,8622153
King County Department of Metro Transit,Bus,7/1/2019,8840564
King County Department of Metro Transit,Bus,8/1/2019,8718288
King County Department of Metro Transit,Bus,9/1/2019,8437124
King County Department of Metro Transit,Bus,10/1/2019,9619655
King County Department of Metro Transit,Bus,11/1/2019,8420473
King County Department of Metro Transit,Bus,12/1/2019,7718006
King County Department of Metro Transit,Bus,1/1/2020,8705965
King County Department of Metro Transit,Bus,2/1/2020,8305939
King County Department of Metro Transit,Bus,3/1/2020,4773283
King County Department of Metro Transit,Bus,4/1/2020,2590410
King County Department of Metro Transit,Bus,5/1/2020,2607899
King County Department of Metro Transit,Bus,6/1/2020,3188735
King County Department of Metro Transit,Bus,7/1/2020,3339926
King County Department of Metro Transit,Bus,8/1/2020,3393742
King County Department of Metro Transit,Bus,9/1/2020,3328392
King County Department of Metro Transit,Bus,10/1/2020,3118656
King County Department of Metro Transit,Bus,11/1/2020,2745130
King County Department of Metro Transit,Bus,12/1/2020,2767733
King County Department of Metro Transit,Bus,1/1/2021,2779426
King County Department of Metro Transit,Bus,2/1/2021,2532122
King County Department of Metro Transit,Bus,3/1/2021,3157886
King County Department of Metro Transit,Bus,4/1/2021,3215701
King County Department of Metro Transit,Bus,5/1/2021,3331400
King County Department of Metro Transit,Bus,6/1/2021,3583180
King County Department of Metro Transit,Bus,7/1/2021,3853296
King County Department of Metro Transit,Bus,8/1/2021,3837242
King County Department of Metro Transit,Bus,9/1/2021,3998616
King County Department of Metro Transit,Bus,10/1/2021,4452242
King County Department of Metro Transit,Bus,11/1/2021,3948846
King County Department of Metro Transit,Bus,12/1/2021,3422080
King County Department of Metro Transit,Bus,1/1/2022,3510345
King County Department of Metro Transit,Bus,2/1/2022,3502095
King County Department of Metro Transit,Bus,3/1/2022,4311305
King County Department of Metro Transit,Bus,4/1/2022,4465947
King County Department of Metro Transit,Bus,5/1/2022,4646615
King County Department of Metro Transit,Bus,6/1/2022,4664895
King County Department of Metro Transit,Bus,7/1/2022,4649909
King County Department of Metro Transit,Bus,8/1/2022,4809401
King County Department of Metro Transit,Bus,9/1/2022,4804553
King County Department of Metro Transit,Bus,10/1/2022,5267823
King County Department of Metro Transit,Bus,11/1/2022,4698068
King County Department of Metro Transit,Bus,12/1/2022,4172608
King County Department of Metro Transit,Bus,1/1/2023,4903992
King County Department of Metro Transit,Bus,1/1/2012,54096
King County Department of Metro Transit,Bus,2/1/2012,64681
King County Department of Metro Transit,Bus,3/1/2012,73524
King County Department of Metro Transit,Bus,4/1/2012,78018
King County Department of Metro Transit,Bus,5/1/2012,89504
King County Department of Metro Transit,Bus,6/1/2012,84800
King County Department of Metro Transit,Bus,7/1/2012,87723
King County Department of Metro Transit,Bus,8/1/2012,93142
King County Department of Metro Transit,Bus,9/1/2012,82691
King County Department of Metro Transit,Bus,10/1/2012,91232
King County Department of Metro Transit,Bus,11/1/2012,74260
King County Department of Metro Transit,Bus,12/1/2012,65993
King County Department of Metro Transit,Bus,1/1/2013,74954
King County Department of Metro Transit,Bus,2/1/2013,70610
King County Department of Metro Transit,Bus,3/1/2013,75524
King County Department of Metro Transit,Bus,4/1/2013,81974
King County Department of Metro Transit,Bus,5/1/2013,88807
King County Department of Metro Transit,Bus,6/1/2013,85464
King County Department of Metro Transit,Bus,7/1/2013,93694
King County Department of Metro Transit,Bus,8/1/2013,94731
King County Department of Metro Transit,Bus,9/1/2013,82625
